Table,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48
ACTUATOR_SENSOR_INTERFACE_DEVICE_TYPE,TYPE,user,time,NAME,DESCRIPTION,IO_CONFIGURATION,IDENTIFICATION_CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARM_TYPE_DEFINITION,TYPE,user,time,NAME,CLASS,DESCRIPTION,CATEGORY,UI_STRING,CHARM_ID,LABEL,INTRINSICALLY_SAFE_CAPABLE,REDUNDANT_CAPABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEVICE_MANUFACTURER,TYPE,user,time,NAME,FIELDBUS_MANUFACTURER_ID,HART_MANUFACTURER_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEVICENET_DEVICE_REVISION,TYPE,user,time,REVISION,MANUFACTURER,DEVICENET_DEVICE_TYPE,EDS_FILE_SIGNATURE,,,MODEL,MODEL_ID,DEVICE_TYPE,DEVICE_TYPE_ID,MANUFACTURER_ID,EDS_FILE_DESCRIPTION,INPUT_SIZE,OUTPUT_SIZE,PARAMETER_SAVE_REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEVICENET_USER_DEVICE_TYPE,TYPE,user,time,NAME,MANUFACTURER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTRONIC_SIGNATURE_POLICY,TYPE,user,time,NAME,DESCRIPTION,DEFAULT_ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIELDBUS_DEVICE_DEFINITION_REVISION,TYPE,user,time,MANUFACTURER,TYPE,REVISION,DDREV,DEVICE_CLASS,,FUNCTION_BLOCK_VFD,NUMBER_OF_START_LIST_ENTRIES,NUMBER_OF_LINK_OBJECTS,NUMBER_OF_CAPABILITY_LEVELS,NUMBER_OF_INSTANTIABLE_BLOCK_TYPES,SUPPORTS_ALARMS,SUPPORTS_FD_ALARMS,SUPPORTS_ALARM_REANNUNCIATION,ALARM_BLOCK_INDEX,MAX_INSTANTIABLE_FUNCTION_BLOCKS,NUM_OF_SUB_SCHEDULES_PER_SCHEDULE,NUM_OF_SEQUENCES_PER_SUB_SCHEDULE,NUM_OF_ELEMENTS_PER_SEQUENCE,MAXIMUM_SINGLE_LAS_SCHEDULE_SIZE,,,,,,,,,,,,,,,,,,,,,,,,,
FIELDBUS_DEVICE_REVISION_CONTAINER,TYPE,user,time,MANUFACTURER,TYPE,REVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIELDBUS_DEVICE_TYPE,TYPE,user,time,MANUFACTURER,DEVICE_TYPE_ID,,NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIELDBUS_PHYSICAL_DEVICE,TYPE,user,time,MANUFACTURER,TYPE,REVISION,DDREV,,ID,,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIELDBUS_PORT_DEVICE_REVISION,TYPE,user,time,MANUFACTURER,TYPE,REVISION,,DEVICE_CLASS,,FUNCTION_BLOCK_VFD,NUMBER_OF_START_LIST_ENTRIES,NUMBER_OF_LINK_OBJECTS,MAXIMUM_NUMBER_OF_BLOCKS_ON_CARD,MAXIMUM_MEMORY_USAGE,START_INDEX,MAXIMUM_INDEX,NEXT_INDEX_INTERVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP,TYPE,user,time,NAME,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HART_DEVICE_DEFINITION_REVISION,TYPE,user,time,DDREV,REVISION,DEVICE_REVISION_ID,MANUFACTURER,HART_DEVICE_TYPE,,,DESCRIPTION,RESOURCE_PATH,FACEPLATE_DISPLAY_NAME,ALARMS_ENABLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HART_DEVICE_REVISION_CONTAINER,TYPE,user,time,REVISION,DEVICE_REVISION_ID,MANUFACTURER,HART_DEVICE_TYPE,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HART_DEVICE_TYPE,TYPE,user,time,NAME,DEVICE_TYPE_ID,MANUFACTURER,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOGIC_SOLVER,TYPE,user,time,NAME,,,DESCRIPTION,SISNET_DOMAIN,LAST_GENERATED_CRC,LAST_DOWNLOADED_CRC,GLOBAL_SLOT,DLOAD_SLOT,PUBLISHER_TYPE,PRIMARY_CONTROL_DISPLAY,INSTRUMENT_AREA_DISPLAY,DETAIL_DISPLAY,SCAN_RATE,ENABLE_FAST_IO_UPDATES,ASSIGNED_CARD,TEST_INTERVAL_TIME,REMINDER_TIME,AUTO_PROOF_TEST,REDUCED_STATUS,,,,,,,,,,,,,,,,,,,,,,,,,
LOGICSOLVER_INSTALLATION_RECORDS,TYPE,user,time,NAME,,,SYSTEM_ID,COMMISSIONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NodeInstRecord,TYPE,user,time,NODE,SYSTEM_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROFIBUS_DEVICE,TYPE,user,time,NAME,MANUFACTURER,MODEL,REVISION,,,ENABLED,FAILSAFE,WATCHDOG_TIMER_ENABLE,WATCHDOG_TIMER_VALUE,DEVICE_TYPE_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROFIBUS_DEVICE_MODEL,TYPE,user,time,NAME,MANUFACTURER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAPSHOT_VCR,TYPE,DBID,NAME,VERSIONABLE_ITEM_TYPE,EXPORTABLE_ITEM_TYPE,PARENT_DBID,PURGED,DELETED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOFTWARE_LICENSE_BUNDLE,TYPE,user,time,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYSTEM_BATCH_UNIT_SELECTION_POLICY,TYPE,user,time,NAME,CATEGORY,DESCRIPTION,PRIORITY_CHOICE,EXPRESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_Alarms,TYPE,user,time,NAME,INDEX,DESCRIPTION,ALARM_WORD,MESSAGE,CATEGORY,SUMMARY_NO,DEFAULT_PARAM1,DEFAULT_PARAM2,WAVE_FILE,PRIORITY,SUPPRESS_SOUND_FOR_ACK_ALARMS,AUTO_ACK,AUTO_ACK_INACTIVE,ALARM_IDENTITY,ALARM_SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_Areas,TYPE,user,time,NAME,INDEX,DESCRIPTION,,,SEQUENCE_NUMBER,ELECTRONIC_SIGNATURE_ENABLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_Batch_Class,TYPE,user,time,NAME,CATEGORY,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_Batch,TYPE,user,time,NAME,CLASS,ID,,,MAX_OWNERS,MMI_PICTURE,SIMULATED,DOWNSTREAM_UNITS_OPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_BlockDef,TYPE,user,time,NAME,CATEGORY,DESCRIPTION,CONTAINER_VERSION,MIN_CONTAINER_VERSION,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_Enumeration,TYPE,user,time,NAME,DESCRIPTION,ID,DEFAULT_VALUE,CATEGORY,FIXED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
